Date,Day,Time,Hour_missing,Hour,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur commande
13/02/2020,Thursday,,1.00,12.00,1,0,0,0,2
13/02/2020,Thursday,,1.00,12.00,0,0,2,0,8
13/02/2020,Thursday,,1.00,12.00,0,1,0,0,3
13/02/2020,Thursday,,1.00,12.00,0,0,1,0,4
13/02/2020,Thursday,,1.00,12.00,1,0,0,0,2
20/02/2020,Thursday,11:30,0.00,11.00,0,1,0,1,9
20/02/2020,Thursday,11:40,0.00,11.00,2,1,0,3,25
20/02/2020,Thursday,,1.00,11.00,0,1,0,0,3
20/02/2020,Thursday,,1.00,11.00,0,0,1,1,10
20/02/2020,Thursday,,1.00,11.00,1,0,0,0,2
27/02/2020,Thursday,,1.00,11.00,0,0,0,1,6
27/02/2020,Thursday,,1.00,11.00,1,0,0,0,2
27/02/2020,Thursday,,1.00,11.00,0,1,0,0,3
27/02/2020,Thursday,,1.00,11.00,1,0,0,0,2
27/02/2020,Thursday,,1.00,11.00,0,3,0,0,9
27/02/2020,Thursday,,1.00,11.00,1,0,0,0,2
27/02/2020,Thursday,,1.00,11.00,1,0,0,0,2
27/02/2020,Thursday,,1.00,11.00,1,0,0,0,2
05/03/2020,Thursday,,1.00,11.00,0,0,2,3,26
05/03/2020,Thursday,,1.00,11.00,1,0,0,0,2
05/03/2020,Thursday,,1.00,11.00,1,0,0,0,2
05/03/2020,Thursday,,1.00,11.00,0,1,0,0,3
05/03/2020,Thursday,,1.00,11.00,1,0,0,0,2
05/03/2020,Thursday,,1.00,11.00,0,2,0,2,18
05/03/2020,Thursday,,1.00,11.00,0,1,0,1,9
05/03/2020,Thursday,,1.00,11.00,0,0,1,3,22
05/03/2020,Thursday,,1.00,11.00,0,1,0,0,3
05/03/2020,Thursday,,1.00,11.00,1,0,0,0,2
05/03/2020,Thursday,,1.00,11.00,0,0,0,1,6
14/05/2020,Thursday,12:00,0.00,12.00,0,2,0,2,18
14/05/2020,Thursday,12:00,0.00,12.00,0,0,3,0,12
14/05/2020,Thursday,12:15,0.00,12.00,0,2,0,2,18
14/05/2020,Thursday,12:30,0.00,12.00,0,1,0,4,27
14/05/2020,Thursday,12:45,0.00,12.00,0,2,0,2,18
14/05/2020,Thursday,,1.00,12.00,1,0,0,0,2
14/05/2020,Thursday,,1.00,12.00,0,0,0,1,6
14/05/2020,Thursday,,1.00,12.00,0,2,0,1,12
14/05/2020,Thursday,,1.00,12.00,0,0,2,0,8
